Task_cnt	Time(us)		Latency		post_rdma_write
1		223827.70		236.81		0.86
2		224055.26		226.59		0.27
3		224301.81		246.53		0.12
4		224493.03		191.20		0.28
5		224735.48		242.43		0.11
6		224962.03		226.53		0.23
7		225189.55		227.50		0.35
8		225416.33		226.77		0.13
9		225643.12		226.77		0.21
10		225870.14		227.00		0.10
11		226097.68		227.52		0.10
12		226325.07		227.37		0.10
13		226552.70		227.62		0.10
14		226779.92		227.20		0.11
15		227006.88		226.95		0.10
16		227234.74		227.84		0.09
17		227462.75		227.99		0.21
18		227699.12		236.35		0.09
19		227938.01		238.87		0.19
20		228164.67		226.65		0.19
21		228397.07		232.38		1.86
22		228620.71		223.62		0.33
23		228847.65		226.92		0.20
24		229074.15		226.49		0.09
25		229301.55		227.38		0.22
26		229529.17		227.60		0.09
27		229756.03		226.85		0.11
28		229982.48		226.43		0.09
29		230208.66		226.17		0.10
30		230436.30		227.62		0.10
31		230663.17		226.85		0.09
32		230890.31		227.13		0.09
33		231127.51		237.18		0.21
34		231365.11		237.58		0.19
35		231592.20		227.08		0.19
36		231818.88		226.66		0.09
37		232047.40		228.51		0.14
38		232285.27		237.85		0.10
39		232477.21		191.92		0.22
40		232717.75		240.52		0.10
41		232944.59		226.82		0.27
42		233171.10		226.50		0.09
43		233398.03		226.91		0.09
44		233625.71		227.67		0.09
45		233853.58		227.86		0.09
46		234080.39		226.79		0.10
47		234308.05		227.64		0.09
48		234534.79		226.72		0.09
49		234761.46		226.65		0.20
50		234988.51		227.03		0.09
51		235216.23		227.71		0.09
52		235443.03		226.78		0.09
53		235670.32		227.27		0.09
54		235897.09		226.75		0.10
55		236124.35		227.25		0.09
56		236345.06		220.69		0.09
57		236563.64		218.57		0.30
58		236791.28		227.62		0.20
59		237018.40		227.10		0.09
60		237245.36		226.94		0.10
61		237472.71		227.33		0.10
